strategy_date,training_date,audit_status,audit_scope,audit_result,lesson_type,lesson_note,rank,code,name,push_level,fast_level,fast_score,market_price_date,market_lag_days,market_source,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,return_1d_pct,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,max_gain_5d_pct,capture_type,snapshot_time,reasons,risks,strategy_version
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,26,000603,盛达资源,观察池,下个交易日主盯,104.78,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4多头排列技术加分,v4乖离率过大；v4远离短中期均线；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,21,601138,工业富联,观察池,下个交易日主盯,100.18,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v4乖离率过大；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,3,002428,云南锗业,观察池,下个交易日主盯,97.18,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,仍在20日线下方；热度可能进入后段；v4乖离率过大；v4远离短中期均线；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,45,300285,国瓷材料,观察池,下个交易日主盯,95.68,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,仍在20日线下方；热度可能进入后段；v4乖离率过大；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,5,600206,有研新材,观察池,下个交易日主盯,92.28,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；温和放量；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,近5日趋势未确认；仍在20日线下方；热度可能进入后段；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,7,003032,传智教育,观察池,下个交易日主盯,91.83,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；站上20日线且不过热；持续霸榜；市场强势且个股相对强势；v4龙虎榜提示关注,热度可能进入后段；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,8,000725,京东方A,不推送,下个交易日主盯,90.13,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日上涨；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v4短线偏离MA5过多,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,11,603629,利通电子,观察池,下个交易日主盯,90.08,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,热度可能进入后段；v4乖离率过大；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,44,600403,大有能源,观察池,下个交易日主盯,89.18,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势；v4多头排列技术加分,v4乖离率过大；v4远离短中期均线；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,12,000657,中钨高新,观察池,下个交易日主盯,87.88,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,v4乖离率过大；涨停封板不可买,v4
