signal_date,rank,code,name,push_level,emotion_score,day_return_pct,pre5_return_pct,market_regime,market_1d_pct,market_5d_pct,market_price_date,market_lag_days,market_source,relative_1d_pct,relative_5d_pct,close_position,volume_ratio_5,dist_ma20_pct,consecutive_days,rank_change,capture_type,snapshot_time,reasons,risks,suggested_action,strategy_version
2026-06-25,4,002185,华天科技,强推观察,98.0,6.29,17.06,强势,1.44,2.37,2026-06-25,0,common_index_cache,4.85,14.69,0.818,0.95,18.89,28,25.0,intraday_1430,2026-06-25 14:30:00,人气Top10；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v2早段升温样本提权,热度可能进入后段,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v2
2026-06-25,5,603986,兆易创新,强推观察,96.0,7.63,17.72,强势,1.44,2.37,2026-06-25,0,common_index_cache,6.19,15.35,0.891,0.94,27.59,9,25.0,intraday_1430,2026-06-25 14:30:00,人气Top10；当日强涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势,热度可能进入后段,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v2
2026-06-25,12,002156,通富微电,强推观察,90.0,4.77,16.33,强势,1.44,2.37,2026-06-25,0,common_index_cache,3.33,13.96,0.781,1.07,17.9,36,57.0,intraday_1430,2026-06-25 14:30:00,人气Top20；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v2早段升温样本提权,热度可能进入后段,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v2
2026-06-25,2,000725,京东方A,重点观察,80.0,5.94,12.63,强势,1.44,2.37,2026-06-25,0,common_index_cache,4.5,10.26,0.66,1.05,22.0,25,4.0,intraday_1430,2026-06-25 14:30:00,人气Top3；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,热度可能进入后段,只做观察或轻仓试错，等待回落承接和量能不失控。,v2
2026-06-25,29,301308,江波龙,重点观察,76.0,9.16,18.39,强势,1.44,2.37,2026-06-25,0,common_index_cache,7.72,16.02,0.754,1.08,22.98,1,70.0,intraday_1430,2026-06-25 14:30:00,人气Top50；当日强涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势,-,只做观察或轻仓试错，等待回落承接和量能不失控。,v2
2026-06-25,39,002384,东山精密,普通观察,74.0,6.94,7.03,强势,1.44,2.37,2026-06-25,0,common_index_cache,5.5,4.66,0.943,0.91,17.71,36,6.0,intraday_1430,2026-06-25 14:30:00,人气Top50；当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,68,002463,沪电股份,普通观察,74.0,7.96,5.6,强势,1.44,2.37,2026-06-25,0,common_index_cache,6.52,3.23,0.904,1.13,13.21,23,0.0,intraday_1430,2026-06-25 14:30:00,当日强涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,7,000021,深科技,普通观察,68.0,6.54,24.82,强势,1.44,2.37,2026-06-25,0,common_index_cache,5.1,22.45,0.687,1.13,30.48,10,54.0,intraday_1430,2026-06-25 14:30:00,人气Top10；当日上涨；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势,偏离20日线较大；热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,18,600172,黄河旋风,普通观察,65.0,6.61,37.07,强势,1.44,2.37,2026-06-25,0,common_index_cache,5.17,34.7,0.974,1.12,29.98,5,-16.0,intraday_1430,2026-06-25 14:30:00,人气Top20；当日上涨；收在日内高位；温和放量；近5日强势延续；持续霸榜；市场强势且个股相对强势,短线涨幅偏高；偏离20日线较大；热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,26,603019,中科曙光,普通观察,65.0,8.1,11.12,强势,1.44,2.37,2026-06-25,0,common_index_cache,6.66,8.75,0.85,2.13,12.13,1,35.0,intraday_1430,2026-06-25 14:30:00,人气Top50；当日强涨；收盘承接较强；放量仍可控；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势,v2回避中后段放量追高样本,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,17,600206,有研新材,普通观察,63.0,8.56,41.22,强势,1.44,2.37,2026-06-25,0,common_index_cache,7.12,38.85,0.9,0.94,56.48,10,-5.0,intraday_1430,2026-06-25 14:30:00,人气Top20；当日强涨；收在日内高位；温和放量；近5日强势延续；持续霸榜；市场强势且个股相对强势,短线涨幅偏高；远离20日线过多；热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
2026-06-25,49,000657,中钨高新,普通观察,62.0,5.24,17.64,强势,1.44,2.37,2026-06-25,0,common_index_cache,3.8,15.27,0.764,0.86,28.83,11,11.0,intraday_1430,2026-06-25 14:30:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势,偏离20日线较大；热度可能进入后段,保留在样本池，继续看次日人气和承接。,v2
