strategy_date,training_date,analysis_window,learned_rule,fast_score,fast_level,next_session_plan,fit_reasons,rank,code,name,push_level,emotion_score,day_return_pct,pre5_return_pct,market_regime,market_1d_pct,market_5d_pct,market_price_date,market_lag_days,market_source,relative_1d_pct,relative_5d_pct,market_adjustment,close_position,volume_ratio_5,dist_ma20_pct,consecutive_days,rank_change,capture_type,snapshot_time,reasons,risks,strategy_version
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,100.26,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；近5日涨幅落在近期胜出区间；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,2,000823,超声电子,不推送,78.35,7.85,8.28,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,8.38,6.83,4.0,0.825,1.25,38.61,10,25.0,post_close,2026-09-23 15:00:00,人气Top3；当日强涨；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控；v4多头排列技术加分,偏离20日线较大；热度可能进入后段；Top3高热度拥挤，次日兑现风险；v4乖离率过大；v4远离短中期均线,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,93.73,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,11,600186,莲花控股,不推送,54.95,5.77,-13.47,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,6.3,-14.92,4.0,0.982,1.25,-25.37,33,11.0,post_close,2026-09-23 15:00:00,人气Top20；当日上涨；收在日内高位；温和放量；持续霸榜；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；仍在20日线下方；热度可能进入后段,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,90.59,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；近5日涨幅落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,4,002185,华天科技,普通观察,81.3,0.49,9.02,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,1.02,7.57,4.0,0.688,0.91,9.69,93,8.0,post_close,2026-09-23 15:00:00,人气Top10；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；震荡市里保持相对强势；v4多头排列技术加分；v4沿短均线抬升,热度可能进入后段,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,86.63,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；收盘承接不弱于近期胜出样本；相对大盘偏强,5,600206,有研新材,不推送,56.95,3.16,-9.8,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,3.69,-11.25,4.0,0.799,0.97,-10.02,9,47.0,post_close,2026-09-23 15:00:00,人气Top10；当日上涨；收盘承接较强；温和放量；持续霸榜；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；仍在20日线下方；热度可能进入后段,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,84.23,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；收盘承接不弱于近期胜出样本；相对大盘偏强,7,000636,风华高科,普通观察,84.95,1.71,0.27,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,2.24,-1.18,4.0,0.87,0.68,7.92,88,23.0,post_close,2026-09-23 15:00:00,人气Top10；收盘承接较强；站上20日线且不过热；持续霸榜；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控；v4多头排列技术加分；v4缩量回踩MA5；v4靠近MA10承接,热度可能进入后段,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,76.98,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；情绪分达近期强势线；近5日涨幅落在近期胜出区间；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,63,600309,万华化学,不推送,53.3,2.78,7.53,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,3.31,6.08,4.0,1.0,1.52,2.4,1,-16.0,post_close,2026-09-23 15:00:00,收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控,后段人气股在偏弱环境里更谨慎,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,73.09,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势排名段；命中近样本强势上榜阶段；近5日涨幅落在近期胜出区间；量比落在近期胜出区间；相对大盘偏强,19,002491,通鼎互联,不推送,31.3,-3.19,12.61,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,-2.66,11.16,4.0,0.099,1.46,8.69,31,39.0,post_close,2026-09-23 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升；震荡市里保持相对强势；v4多头排列技术加分,当日转弱；收盘承接偏弱；热度可能进入后段；v4乖离率过大；v4远离短中期均线,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,71.53,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,31,601208,东材科技,不推送,58.95,8.83,-20.3,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,9.36,-21.75,4.0,0.991,1.54,-27.2,2,42.0,post_close,2026-09-23 15:00:00,人气Top50；当日强涨；收在日内高位；温和放量；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；仍在20日线下方,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,69.43,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,23,600641,先导基电,观察池,60.95,9.99,-20.7,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,10.52,-22.15,4.0,1.0,1.74,-19.63,3,32.0,post_close,2026-09-23 15:00:00,人气Top50；当日涨停附近；收在日内高位；温和放量；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；仍在20日线下方；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-09-23,2026-09-16,2026-09-16 -> 2026-09-23,近样本强势阈值10%，偏好推送层级=不推送，排名段=Top10、Top20，上榜阶段=连续第3天、连续4天及以上，情绪分不低于50。 低层级强势反哺：不推送6只: 市场强势且个股相对强势、温和放量、当日上涨、持续霸榜。,63.34,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；近5日涨幅落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,69,300058,蓝色光标,不推送,36.3,5.46,7.22,震荡,-0.53,1.45,2026-09-23,0,common_index_cache,5.99,5.77,4.0,0.797,2.09,-3.59,3,-54.0,post_close,2026-09-23 15:00:00,当日上涨；收盘承接较强；放量仍可控；近5日趋势升温；连续上榜确认；震荡市里保持相对强势；震荡市里承接未失控,人气排名明显回落；后段人气股在偏弱环境里更谨慎；v4短线偏离MA5过多；v4趋势未转强且热度偏后,v4
