signal_date,code,dragon_tiger_positive
2016-08-18,603986,True
2016-08-22,603986,True
2016-08-25,603986,True
2016-08-30,603986,True
2016-09-01,603986,True
2016-09-06,603986,True
2016-09-09,603986,True
2016-09-13,603986,True
2017-03-15,603986,True
2017-03-23,603986,True
2017-06-12,603986,True
2017-08-10,603986,True
2017-08-29,603986,True
2017-10-19,603986,True
2017-10-31,603986,True
2018-03-02,603986,True
2019-09-23,603986,True
2020-01-23,603986,True
2020-02-28,603986,True
2020-03-04,603986,True
2020-05-07,603986,True
2020-10-30,603986,True
2021-08-13,603986,True
2023-03-23,603986,True
2024-12-20,603986,True
2025-01-09,603986,True
2025-08-25,603986,True
2025-11-14,603986,True
